listing_id,locality,bhk,sqft,bathrooms,furnishing,property_age_years,metro_distance_km,parking,gated_community,monthly_rent_inr
BLR-0001,Jayanagar,3,1426,3,Semi Furnished,2,2.8,0,0,51893
BLR-0002,Kengeri,3,1567,4,Unfurnished,7,3.7,1,0,33323
BLR-0003,Jayanagar,1,684,2,Unfurnished,15,0.7,1,0,28130
BLR-0004,Kengeri,4,1886,4,Semi Furnished,0,4.0,0,0,28171
BLR-0005,Whitefield,2,1099,3,Semi Furnished,13,3.9,1,1,42256
BLR-0006,HSR Layout,2,1415,1,Semi Furnished,19,2.9,1,1,53770
BLR-0007,Sarjapur Road,4,2017,4,Fully Furnished,0,1.9,0,1,73466
BLR-0008,Koramangala,1,1048,2,Semi Furnished,14,3.9,1,1,44944
BLR-0009,Sarjapur Road,1,860,2,Semi Furnished,6,1.8,1,1,35969
BLR-0010,Indiranagar,2,1091,2,Semi Furnished,4,4.6,1,0,49784
BLR-0011,Sarjapur Road,2,843,3,Semi Furnished,11,3.2,1,1,35745
BLR-0012,Yelahanka,2,1033,1,Semi Furnished,20,4.2,1,0,24930
BLR-0013,Indiranagar,2,964,3,Semi Furnished,17,1.5,1,1,57388
BLR-0014,Sarjapur Road,1,620,2,Unfurnished,18,0.5,1,1,20760
BLR-0015,Koramangala,2,1181,2,Fully Furnished,13,0.2,1,1,66601
BLR-0016,Electronic City,3,1580,2,Unfurnished,1,1.2,1,1,32767
BLR-0017,Kengeri,3,1351,3,Unfurnished,16,0.3,1,0,26515
BLR-0018,Hebbal,2,1284,1,Fully Furnished,10,3.8,1,0,47428
BLR-0019,Whitefield,2,1075,1,Fully Furnished,4,1.3,1,1,43588
BLR-0020,Hebbal,3,1604,3,Semi Furnished,20,5.7,1,0,47240
BLR-0021,Banashankari,4,1850,5,Unfurnished,9,3.4,1,1,50664
BLR-0022,Electronic City,2,1113,2,Semi Furnished,3,1.1,1,1,34938
BLR-0023,Hebbal,1,714,1,Semi Furnished,13,3.5,1,1,29134
BLR-0024,Sarjapur Road,3,1464,4,Semi Furnished,17,1.6,0,1,52862
BLR-0025,HSR Layout,2,953,1,Semi Furnished,19,1.2,0,0,36047
BLR-0026,Banashankari,2,1310,2,Semi Furnished,5,4.2,0,1,39957
BLR-0027,Whitefield,1,847,2,Semi Furnished,6,7.2,1,0,25994
BLR-0028,Banashankari,2,1295,2,Unfurnished,4,2.3,1,1,43555
BLR-0029,Yelahanka,3,1488,3,Semi Furnished,1,3.2,1,1,35948
BLR-0030,Indiranagar,1,707,1,Semi Furnished,2,7.3,0,1,37592
BLR-0031,Marathahalli,2,933,2,Fully Furnished,18,0.5,1,1,48126
BLR-0032,HSR Layout,2,1213,1,Semi Furnished,9,1.5,1,1,44519
BLR-0033,Whitefield,2,1246,2,Fully Furnished,12,3.0,1,0,49006
